,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
86,0.0,8343827.977137909,1124189.1772082222,38092.34495324065,554362.3052353663,3253.433094117484
87,0.0,8305127.733787052,1119955.0909669704,37988.225376394694,552655.233605817,3039.8673144829418
88,0.0,8265953.71353419,1115558.71054374,37934.04786917686,550552.3847731289,2918.4992179090113
89,0.0,8226121.264559187,1111043.1700042207,37876.22044912252,548677.6701116689,2119.895276557305
90,0.0,8186116.233953877,1106594.8233319502,37795.62310757394,546721.1133067278,2303.7618965646975
91,0.0,8147027.449787994,1102428.0470772928,37781.32377840101,545071.947482259,2961.87773234662
92,0.0,8106871.254280041,1097803.2804024953,37747.90455923235,543325.1309824124,2704.8765338926696
93,0.0,8066055.885083088,1093410.4201134893,37687.72886242358,542058.6592677444,2701.917242487313
94,0.0,8025620.060983857,1088963.477049643,37626.21748651809,540241.1279458698,2310.6377542708633
95,0.0,7985632.861904409,1084744.6925648935,37618.216878936524,538566.8570480131,2199.2153305221364
96,0.0,7946231.320915865,1080432.835478696,37604.04993028517,536807.7436837825,2193.003013105368
97,0.0,7906051.512903149,1076350.6632844978,37553.501201293744,535172.3428799092,2132.6941376465934
98,0.0,7866555.433432394,1071885.748092909,37564.362970767754,533782.6247797573,2362.6352584948263
99,0.0,7826481.335749475,1067321.8700252282,37485.46529228581,532175.4126243964,2302.950489500745
100,0.0,7786927.80355601,1062732.4938414511,37440.93801334947,530369.1339702226,2027.10176331475
101,0.0,7746482.294805182,1058036.997124487,37492.762273903885,528655.3115649502,2186.4095840907944
102,0.0,7706071.278164793,1053640.968387839,37601.56795901083,526812.9022054796,2408.465612828073
103,0.0,7665712.25950588,1049324.340704712,37661.333870284005,524765.822914999,2458.6627257770137
104,0.0,7626482.518361589,1045079.1742343691,37550.48817265334,523110.17408113915,2318.3987541187335
105,0.0,7587130.794107227,1040550.4350249664,37575.282291124844,521442.5457021264,2321.705776574698
106,0.0,7546254.300262327,1036045.7709088863,37769.49917397533,519799.11810746393,2401.5127721375793
107,0.0,7505684.616792905,1031931.7704774664,37883.23836896955,518175.480796993,2288.2910138535517
108,0.0,7465184.866752417,1027628.2205231746,37986.902779535885,516311.1459987107,2511.8049433635715
109,0.0,7425232.483978985,1023201.3058969507,37947.69276192236,514588.606054538,2337.0375151674352
110,0.0,7384778.002225307,1019066.145924617,37973.594753633,513033.92699223163,2233.696670011706
111,0.0,7344862.838610553,1014977.4413412007,38098.6928618848,511634.00760411756,1942.8631869601672
112,0.0,7304791.755350238,1010862.9336636431,38164.987879178516,510268.6146446265,2046.676434328228
113,0.0,7264993.361523355,1006586.6546140428,38190.61181265428,508703.5137111493,2302.633695362155
114,0.0,7224863.347813886,1006994.3642420257,38201.8877769113,507196.3778730902,2674.5481451688115
115,0.0,7185026.124622606,1000821.6323547619,38302.50745917706,505907.9475515111,2801.901864278645
116,0.0,7144361.942315224,994085.8975689547,38461.579475616294,504366.5076588507,2427.1809498560724
117,0.0,7104401.7675618995,989826.1529553165,38522.382983297684,502787.48857454053,2111.3044779516895
118,0.0,7064246.914436937,985329.2986134398,38675.17692529027,501513.27082567825,3173.4874093303047
119,0.0,7024064.563473488,981089.7196886834,38694.08647413089,500149.33627717383,3514.2551319744603
120,0.0,6984280.4561581,976615.3594356657,38671.736374850254,498742.17303194234,3661.4364837824173
121,0.0,6944640.973403576,972250.9889986855,38744.747612130646,497690.2961922129,3570.0886604346274
122,0.0,6904852.220118682,967931.0451730752,38757.57963547054,496120.81502063485,3681.4692678211013
123,0.0,6865097.980317409,963481.909856279,38828.35455903934,494485.2550205282,4200.0
124,0.0,6824986.6208852185,959069.5850880661,38772.25890966906,493079.5706223652,4333.259004607005
125,0.0,6785389.581764023,954977.7800052037,38837.52973056941,491474.0512591826,4735.051336706387
126,0.0,6746465.847271995,950690.9065561186,38891.59601603716,489907.548412726,3472.7490395202494
127,0.0,6706763.6881396435,946825.031105411,38958.67907637286,488777.2762838956,3260.2103622707937
128,0.0,6666895.862608284,942834.1857718423,38899.248570299445,487662.13334405294,2952.801861315074
129,0.0,6627817.496314999,938877.7181953989,39002.99603698499,486162.01956816576,3196.2854360442147
130,0.0,6588566.995561887,935050.1118172315,38959.96875197196,484673.60247669095,3376.8651901913927
131,0.0,6549817.048989131,930952.9786387689,39023.13449533295,483121.922453065,2834.6160316073556
132,0.0,6510382.418984162,927033.6223680278,39048.109237154094,481785.3429419326,2674.0736855505565
133,0.0,6471522.453880805,922940.1572157545,39074.12753561775,480422.0747633359,2559.0852592958395
134,0.0,6431895.11184233,918861.0073350627,39147.65082351519,479018.46537359786,2252.1176112378107
135,0.0,6392460.724694802,914661.4586712992,39195.50145130101,477602.89512499666,1952.777194212048
136,0.0,6353894.289831342,910559.2644949964,39161.3594631361,476098.3248697219,1762.946596345986
137,0.0,6314529.280626664,906448.6144061361,39188.43704471048,474872.49942721473,1235.2175570005795
138,0.0,6275804.382176003,902378.165770387,39176.95091755235,473652.68025902513,1306.665512781592
139,0.0,6236268.780837928,898345.3935430633,39178.970573063074,472238.0719995506,1483.2815040707837
140,0.0,6197233.614071407,894319.1430957332,39124.719336024296,471157.90461336914,1359.0181972491694
141,0.0,6159310.55809757,890051.5760208695,38815.28086107848,469662.8933575186,1702.9971176872227
142,0.0,6121462.397866419,886105.284236535,38836.97187767545,468212.8088781655,1860.9556635580457
143,0.0,6084469.624383546,882542.7545829024,38831.46122441701,466879.4551704146,2100.0
144,0.0,6045703.6095875455,878610.9246743837,38835.90426058185,465833.60617308,2353.1260506474923
145,0.0,6008013.982687981,874513.2608140574,38900.25077563551,464459.9062343032,2547.8761034945246
146,0.0,5970662.269965144,870765.6134141504,38838.76895703509,463176.0453056421,2550.0
147,0.0,5932340.079563754,866811.3102657873,38834.548097218656,461961.57145550527,2280.831073757532
148,0.0,5894672.005473494,862906.9456420846,38900.53507750643,461066.7790669431,1962.3692484006701
149,0.0,5857426.70393052,859137.1632061977,38959.09646840905,459928.8062310153,2073.988634158515
150,0.0,5819651.995753077,855050.4431400223,39052.67724670419,458792.9848586134,1977.9843773075163
151,0.0,5782948.511742946,851117.1192176983,39080.44499741688,457682.08808896464,2258.3464851243007
152,0.0,5745709.373552006,847491.940064677,39187.41622517939,456840.39099906327,1712.1365525246704
153,0.0,5708873.250722045,843704.0310985212,39184.508233083245,455761.7090028344,1821.8657494543977
154,0.0,5671944.98390743,840063.7716819117,39203.51375926643,454551.9102689867,1650.0
155,0.0,5634903.420424085,836188.9058450289,39264.11432391622,453256.53004495316,1615.5916417774288
156,0.0,5598752.415933275,832372.6625855673,39232.78580454008,452468.5911157755,1463.4814659396293
157,0.0,5562794.013849699,828959.3159895716,39201.2567768449,451362.1572981401,1800.0
158,0.0,5527195.397772864,824829.0661822231,39257.859723578076,450419.47655130766,1730.9568540866055
159,0.0,5491749.462396463,821170.8011968497,39205.31633595286,449427.95054132363,1500.0
160,0.0,5456519.742248399,817815.6179782737,39263.20412082175,448588.77788405435,1939.6547681657437
161,0.0,5420947.180308227,814381.6352605242,39249.6182745232,447609.06663301535,1950.0
162,0.0,5386215.961666638,810514.6922267104,39239.109497578895,446709.5529370225,2074.5752881617673
163,0.0,5351292.882147226,806653.9943549512,39261.90874420941,446073.41356086713,2053.5107540518134
164,0.0,5316357.162549325,803009.4311043388,39407.86764684057,445090.9066120321,2095.223596017241
165,0.0,5281914.264164727,799348.052551243,39496.79453512535,444199.0596609937,1888.4881791715088
166,0.0,5247855.2721135365,795709.2246153308,39614.952744256814,443434.34000924975,2250.0
167,0.0,5213588.580078733,792081.8960339958,39622.953838300746,442676.8988166124,2228.662314823152
168,0.0,5180501.04097743,788222.1422107439,39612.119489015895,441803.2341078083,2250.0
169,0.0,5146578.696479836,784579.5685538056,39663.1842058082,441185.52563274617,2633.365271562272
170,0.0,5113219.2413709685,780876.3457589619,39710.81334635272,440455.45252643223,2459.0878906073285
171,0.0,5079297.49616132,777280.6742825361,39765.71144370869,439454.4219463,2181.6247478316973
172,0.0,5046285.200416545,773923.4023885031,39822.32681010118,438577.7062415909,2434.75658592083
173,0.0,5012418.76199931,769957.3142868851,39956.06687268052,437689.7281016389,2465.9141546203386
174,0.0,4979416.723247595,766525.4616683698,39979.82276064382,437203.1449865083,2201.2137357069064
175,0.0,4947244.283283533,763034.4251953751,40008.11571754281,436610.3525387507,2018.2513961133743
176,0.0,4913859.179142414,759590.6663131387,40146.96861215199,435889.1452159268,1560.8794711371693
177,0.0,4881225.631214072,756250.6144968957,40058.552539295495,435302.973794643,1362.3573446625635
178,0.0,4847822.205987334,752906.3774083455,40151.5820440727,434904.58989846427,1448.124221356613
179,0.0,4823489.201730109,749546.6848200716,40218.224674324294,434775.9437419092,1245.9642109407378
180,0.0,4807079.09372916,746082.0686108647,40361.73350848817,434179.1766438833,1547.04721516488
181,0.0,4774804.725937485,742876.6113358394,40421.710885637585,433480.0474480102,1560.7991831652582
182,0.0,4743106.255625491,739414.2994144141,40241.913753991576,432936.32279108005,1686.3749364818548
183,0.0,4710190.207619691,736191.4650229063,40349.906250139495,432575.1002538152,1782.8548477375907
184,0.0,4677061.5044443,732855.9516650372,40443.962011519085,431990.2899671306,2162.4991356051214
185,0.0,4644982.324620168,729619.4500530832,40470.170845062254,431467.7114055656,2251.0019804511667
186,0.0,4612990.875219842,726412.3001098112,40471.55904889272,431205.9303188208,2338.836981191008
187,0.0,4580792.0133945355,723458.6075530077,40507.723208835436,430748.97849282896,2485.390960569486
188,0.0,4548495.047193505,720395.8280264462,40570.688193790586,430148.8236836143,2309.760358091762
189,0.0,4516836.903531284,716928.1812459221,40569.76685788345,429677.67624406103,1977.5333990567724
190,0.0,4484733.587106764,713286.6894912262,40601.48819659689,429347.6573857419,1421.106359820646
191,0.0,4453230.186421135,710104.8580534557,40588.239661869404,429163.29335284483,1465.5793499188776
192,0.0,4421854.62371629,706832.6179697127,40509.768653247294,428741.55066315865,1594.8681896242613
193,0.0,4390858.623566578,703584.1167244897,40556.88387485318,428509.01205242774,1659.6767207154853
194,0.0,4359245.743207135,700260.8554098537,40648.13024157755,430547.69487806957,1329.9271874367646
195,0.0,4328327.278922436,696914.9840446119,40666.06158742601,430051.7889642807,1090.7292890014273
196,0.0,4297066.671131814,693621.9941056867,40693.679980015855,429743.63723836176,1163.7029765380391
197,0.0,4265467.409829913,690099.2016203678,40686.972524246936,429524.87643521826,963.210690964334
