1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
123.0,594.0,2605.0,2020.0,270.0,2058.0,1503.0,2967.0,3929.0,2865.0,824.0,3922.0,2845.0,880.0,429.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,591.0,2632.0,2023.0,273.0,2126.0,1554.0,3073.0,4041.0,2956.0,834.0,3930.0,2893.0,904.0,439.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,590.0,2632.0,2023.0,275.0,2175.0,1625.0,3139.0,4088.0,3024.0,832.0,3927.0,2926.0,917.0,449.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,583.0,2578.0,1996.0,267.0,2165.0,1662.0,3142.0,4051.0,3049.0,810.0,3870.0,2900.0,916.0,449.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,565.0,2523.0,1984.0,262.0,2156.0,1687.0,3129.0,4020.0,3051.0,801.0,3784.0,2863.0,906.0,450.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,554.0,2471.0,1956.0,259.0,2119.0,1680.0,3077.0,3977.0,2990.0,780.0,3690.0,2801.0,889.0,447.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,558.0,2510.0,1980.0,264.0,2109.0,1644.0,3042.0,3984.0,2963.0,784.0,3712.0,2785.0,881.0,446.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0
131.0,601.0,2687.0,2087.0,283.0,2201.0,1650.0,3153.0,4175.0,3036.0,837.0,3942.0,2872.0,908.0,461.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0
131.0,626.0,2786.0,2122.0,290.0,2255.0,1675.0,3223.0,4265.0,3047.0,870.0,4052.0,2907.0,917.0,466.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0
133.0,629.0,2809.0,2126.0,297.0,2238.0,1657.0,3189.0,4230.0,2987.0,877.0,4086.0,2913.0,906.0,462.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,601.0,2731.0,2093.0,295.0,2154.0,1566.0,3064.0,4067.0,2848.0,855.0,4002.0,2863.0,873.0,435.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,556.0,2562.0,2009.0,274.0,1998.0,1432.0,2843.0,3778.0,2636.0,808.0,3778.0,2756.0,828.0,402.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0
107.0,494.0,2320.0,1885.0,246.0,1782.0,1271.0,2561.0,3395.0,2368.0,736.0,3458.0,2608.0,761.0,362.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0
