Technology,Cost,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AC_ElecHeatPump_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC_GasFurnaceComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC_HeatPump_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC_GasFurnace,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC_ElecHeatPump_SpaceHeat,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC_GasFurnaceComm,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC_HeatPump_SpaceHeatComm,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rondo Heat Battery,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rondo Heat Battery,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rondo Heat Battery,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen-to-Heat,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen-to-Heat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogen-to-Heat,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric Boiler,Low,10,9.966666667,9.933333333,9.9,9.866666667,9.833333333,9.8,9.766666667,9.733333333,9.7,9.666666667,9.633333333,9.6,9.566666667,9.533333333,9.5,9.466666667,9.433333333,9.4,9.366666667,9.333333333,9.3,9.266666667,9.233333333,9.2,9.166666667,9.133333333,9.1,9.066666667,9.033333333,9
Electric Boiler,Mid,10,9.966666667,9.933333333,9.9,9.866666667,9.833333333,9.8,9.766666667,9.733333333,9.7,9.666666667,9.633333333,9.6,9.566666667,9.533333333,9.5,9.466666667,9.433333333,9.4,9.366666667,9.333333333,9.3,9.266666667,9.233333333,9.2,9.166666667,9.133333333,9.1,9.066666667,9.033333333,9
Electric Boiler,High,10,9.966666667,9.933333333,9.9,9.866666667,9.833333333,9.8,9.766666667,9.733333333,9.7,9.666666667,9.633333333,9.6,9.566666667,9.533333333,9.5,9.466666667,9.433333333,9.4,9.366666667,9.333333333,9.3,9.266666667,9.233333333,9.2,9.166666667,9.133333333,9.1,9.066666667,9.033333333,9
