NodeELEC,NodeGAS,P2GID,PrimeMover,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,Pmin,Pmax,RampDown,RampUp,MinUp,MinDown,ETA,P2LETA,EconomicLifetime,Lifetime,isBiomethane,isBiomass,InstallYear,ForcedRetirement,MoleFrac_CH4,MoleFrac_H2
42095,42095,BM051,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
42095,42095,EL051,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
42095,42095,MT051,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
42127,42127,BM052,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
42127,42127,EL052,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
42127,42127,MT052,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
09170,09170,BM053,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
09170,09170,EL053,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
09170,09170,MT053,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
42029,42029,BM054,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
42029,42029,EL054,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
42029,42029,MT054,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
36047,36047,BM055,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
36047,36047,EL055,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
36047,36047,MT055,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
36043,36043,BM056,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
36043,36043,EL056,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
36043,36043,MT056,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
34035,34035,BM057,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
34035,34035,EL057,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
34035,34035,MT057,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
42091,42091,BM058,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
42091,42091,EL058,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
42091,42091,MT058,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
42013,42013,BM059,Biomethane,0,100,6,30,0,1,1,1,1,1,1,0,20,20,1,0,2060,2060,1,0
42013,42013,EL059,Electrolysis,0,100,6,30,0,1,1,1,1,1,0.7,0,20,20,0,0,2060,2060,0,1
42013,42013,MT059,Net-zero CH4,0,100,6,30,0,1,1,1,1,1,0.5,0,20,20,0,0,2060,2060,1,0
