NodeELEC,NodeGAS,GenID,PrimeMover,Fuel,ExistingUnits,UnitSize,MaxNewAnnual,MaxNewTotal,Pmin,Pmax,RampDown,RampUp,MinUp,MinDown,isRenewable,HeatRate,isNGFueled,EmissionsFactor,StartupCost,EconomicLifetime,Lifetime,StartupFuel,InstallYear,ForcedRetirement
42049,42049,PT010,Petroleum CT,Petroleum,0.03,100,100,500,0,0.8,1,1,2,1,0,10.98,0,0,0,55,55,0,0,0
42049,42049,GT010,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42049,42049,BP010,Biopower,Biomass,0.06,100,100,500,0,0.84,1,1,1,1,1,14.5,0,0,0,45,45,0,0,0
42049,42049,NC010,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
42049,42049,WD010,Onshore wind,Wind,0,100,5,6,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42049,42049,SL010,Solar,Solar,0,50,10,446,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42059,42059,CS011,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42059,42059,CC011,Natural gas CC,Natural gas,0.95,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42059,42059,CT011,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
42059,42059,GT011,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42059,42059,NC011,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
42059,42059,WD011,Onshore wind,Wind,0,100,5,18,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42059,42059,SL011,Solar,Solar,0,50,10,146,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
25015,25015,CS012,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
25015,25015,CC012,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
25015,25015,CT012,Natural gas CT,Natural gas,0.06,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
25015,25015,GT012,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
25015,25015,BP012,Biopower,Biomass,0.03,100,100,500,0,0.84,1,1,1,1,1,14.5,0,0,0,45,45,0,0,0
25015,25015,NC012,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
25015,25015,WD012,Onshore wind,Wind,0,100,5,6,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
25015,25015,SL012,Solar,Solar,1.74,50,10,177,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36053,36053,CS013,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
36053,36053,CC013,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
36053,36053,CT013,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
36053,36053,GT013,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36053,36053,NC013,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
36053,36053,WD013,Onshore wind,Wind,0.76,100,5,13,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36053,36053,SL013,Solar,Solar,0.45,50,10,203,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36077,36077,CS014,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
36077,36077,CC014,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
36077,36077,CT014,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
36077,36077,GT014,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36077,36077,NC014,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
36077,36077,HD014,Hydro,Hydro,0.01,100,0,500,0,1,1,1,1,1,1,0,0,0,0,100,100,0,0,0
36077,36077,WD014,Onshore wind,Wind,0,100,5,45,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36077,36077,SL014,Solar,Solar,0.04,50,10,348,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36051,36051,CS015,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
36051,36051,CC015,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
36051,36051,CT015,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
36051,36051,GT015,Geothermal,Geothermal,0,50,100,500,0,0.9,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36051,36051,NC015,Nuclear,Nuclear,0,1000,100,500,0.7,0.93,0.2,0.2,36,36,1,10.4,0,0,0,80,80,0,0,0
36051,36051,WD015,Onshore wind,Wind,0,100,5,24,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
36051,36051,SL015,Solar,Solar,0.42,50,10,189,0,1,1,1,1,1,1,0,0,0,0,30,30,0,0,0
42071,42071,CS016,Natural gas CCS,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42071,42071,CC016,Natural gas CC,Natural gas,0,700,100,500,0,1,1,1,7,5,0,7.54,1,0,0,55,55,0,0,0
42071,42071,CT016,Natural gas CT,Natural gas,0,100,100,500,0,0.8,1,1,2,1,0,10.98,1,0,0,55,55,0,0,0
